Volatility,Wallet,Type
21,2.62,DEX
21,2.875,DEX
22.8,2.32,DEX
21.4,3.215,LEND
18.7,3.44,LEND
18.1,3.46,LEND
14.3,3.57,LEND
24.4,3.19,DEX
22.8,3.15,DEX
19.2,3.44,DEX
17.8,3.44,DEX
16.4,4.07,LEND
17.3,3.73,LEND
15.2,3.78,LEND
10.4,5.25,LEND
10.4,5.424,LEND
14.7,5.345,LEND
32.4,2.2,DEX
30.4,1.615,DEX
33.9,1.835,DEX
21.5,2.465,LEND
15.5,3.52,LEND
15.2,3.435,LEND
13.3,3.84,LEND
19.2,3.845,LEND
27.3,1.935,DEX
26,2.14,ORACLES
30.4,1.513,ORACLES
15.8,3.17,ORACLES
19.7,2.77,ORACLES
15,3.57,ORACLES
21.4,2.78,DEX
